<Taxa>	PROTEIN	ARGININE	CYSTEINE	ISOLEUCINE	LEUCINE	LYSINE	METHIONINE	THREONINE	TRYPTOPHAN	VALINE	OIL	OLEIC	LINOLEIC	LINOLENIC	PALMITIC	STEARIC	STACHYOSE	SUCROSE
PI594723	48.4	7.52	1.19	4.74	7.56	5.53	1.2	3.22	1.2	4.26	15.7	26.9	56	7.9	9.1	4	3	2.7
PI594727	45.3	7.6	1.5	4.45	7.65	6.32	1.4	3.73	1.26	5.23	19.8	24.7	54.4	5.8	7	3.9	4.3	7.3
PI594728B	49.4	7.37	1.4	4.25	7.28	6.15	1.3	3.34	1.27	4.96	16.8	27.6	54	6.1	6.8	4.4	2.7	3.4
PI594729	52.4	7.28	1.36	4.23	7.1	5.98	1.3	3.21	1.33	4.91	16.3	29.8	53.6	6.8	6.8	4.6	2.7	1.1
PI594735	50.5	7.28	1.36	4.2	7.17	6	1.3	3.27	1.26	4.91	16.7	28.5	55.7	6.3	7.3	4.3	2.7	2.9
PI594738A	47.1	7.5	1.4	4.27	7.77	6.28	1.4	3.41	1.23	5.18	18.9	27.3	54.7	5.6	8.6	4.5	3.1	4.9
PI594739B	49.8	7.3	1.4	4.1	7.3	5.8	1.3	3.3	1.2	4.8	16.3	24.3	51.3	8.1	11.5	3.3	2.9	2.8
PI594740C	48.4	7.5	1.4	4.5	7.5	6.3	1.4	3.4	1.2	5.1	19.6	25.4	53.4	8.5	10.8	3.9	3.1	2
PI594741B	45.9	7.67	1.49	4.44	7.94	6.47	1.4	3.66	1.27	5.22	19.4	25.3	54.2	7.8	9.5	4.2	4.4	6.8
PI594742	45.5	7.68	1.46	4.42	7.72	6.43	1.4	3.66	1.25	5.27	19.1	27.2	54.4	5.2	8.1	4.1	4.1	7.2
PI594745A	51.2	7.68	1.5	4.22	7.88	6.38	1.4	3.48	1.45	5.21	18.1	26.6	54.2	7.7	7.9	4.2	5.5	7.6
PI594745B	50.5	7.63	1.52	4.15	7.85	6.38	1.4	3.41	1.43	5.26	19	27.7	53.9	6.2	7.7	4.1	5.2	8
PI594746	48.8	7.31	1.36	4.17	7.35	6.15	1.3	3.28	1.19	4.95	17	26.9	53.7	7.7	7.1	4.2	3.2	4.4
PI594748A	48.5	7.68	1.48	4.55	7.52	6.3	1.3	3.48	1.27	5.08	18.6	27.2	53.7	7.1	6.4	3.9	2	1.8
PI594748B	49.2	7.49	1.34	4.37	7.6	6.22	1.4	3.35	1.28	5.11	17.1	26.8	53.3	9.4	6.8	3.9	3.8	4.1
PI594749	46.5	7.57	1.47	4.34	7.76	6.34	1.4	3.57	1.26	5.2	19.5	25.3	54.2	6.2	7.9	4.3	3.7	7.3
PI594751A	48	7.5	1.4	4.3	7.4	6.3	1.3	3.4	1.2	5	17	22.7	50.6	10.2	11.4	4	3.5	3.8
PI594752	49	7.4	1.36	4.33	7.42	6.17	1.3	3.35	1.21	4.95	16.8	26.9	52.8	7.3	6.8	4.2	2.8	3.9
PI594753B	52.5	7.36	1.49	4.44	7.58	6.21	1.4	3.29	1.4	4.81	16.5	26.5	53.5	7.5	7.5	3.9	2.3	0.9
PI594755	52.9	7.23	1.34	4.08	7.15	6.01	1.3	3.05	1.27	4.72	16.1	26.8	54.3	7.8	7.1	4.4	3.8	2.9
PI594756	48.9	7.6	1.5	4.3	7.5	6.2	1.3	3.3	1.3	4.8	18.6	29.2	49.1	7.5	10.7	4	2.4	2.5
PI594759A	47.2	7.99	1.31	5.07	8.11	6.6	1.5	3.38	1.15	4.78	16.6	25.6	55.1	7.7	7.5	4.3	4.9	6.9
PI594759B	49.9	8.03	1.33	4.87	7.55	6.22	1.5	3.2	1.16	4.86	16.4	26.8	54.4	6.4	7	4.6	NA	NA
PI594759D	51	8.54	1.36	4.8	7.73	6.38	1.4	3.17	1.23	5.03	16.9	26.6	54.4	6.8	8	4.1	5.4	5.5
PI594766	48.9	7.6	1.2	4.9	7.6	5.7	1.1	3.3	1.3	4.4	15.4	25.9	54.5	9.3	12.1	4.3	4.3	4.4
PI594768	47.3	8.05	1.21	4.82	8.43	5.82	1.3	3.54	1.43	4.58	17.5	25.7	55.3	8.3	10.6	4.2	5.2	6.5
PI594769	47.2	7.74	1.23	4.68	7.74	5.45	1.3	3.38	1.3	4.63	17.3	26.4	55.8	6.3	7.9	4	2.1	2.4
PI594770B	46.8	7.8	1.3	5.3	7.9	6	1.2	3.5	1.4	4.8	18.7	25.7	51.6	8.6	11.5	3.6	3.8	3.1
PI594776	45.7	7.63	1.53	4.52	7.79	6.39	1.4	3.52	1.31	5.14	20.7	26.5	54.3	5.5	9.4	4.2	2.3	4
PI594777	45.1	7.55	1.51	4.45	7.76	6.36	1.4	3.63	1.29	5.16	20.6	25.4	54.9	5.4	8.6	4.3	3.9	5.3
PI594778	48.3	7.81	1.35	4.66	7.65	6.38	1.4	3.25	1.23	4.81	18.7	26.2	54.1	6	10.7	4.6	3.2	3.2
PI594779	46.1	7.55	1.45	4.41	7.93	6.38	1.4	3.59	1.26	5.16	19.8	25.9	54.2	5.5	9.1	4.6	4	7.1
PI594780	45	7.81	1.66	4.98	8.03	6.52	1.5	3.56	1.47	5.02	21.9	28.6	53.1	5.3	6.9	3.8	1.2	1.3
PI594788	46.3	7.75	1.42	4.53	7.96	6.56	1.4	3.57	1.26	5.25	19.9	24.7	54.1	7.1	10.2	4.2	4.6	6.5
PI594789A	45.7	7.6	1.4	4.4	7.9	6.4	1.4	3.5	1.3	4.8	19.1	24.8	55.1	9	10.9	3.9	2.8	4.4
PI594789B	45.7	7.4	1.4	4.3	7.5	6.4	1.3	3.4	1.1	4.9	18.1	24.6	53.4	8	11.1	3.9	3.4	5.2
PI594790A	44.8	7.66	1.56	4.45	7.75	6.24	1.4	3.62	1.32	5.21	20.5	28.7	53.2	4.6	10.3	4.3	2.5	2.5
PI594791	43.5	7.69	1.58	4.55	7.74	6.33	1.4	3.72	1.33	5.23	20.8	28	53.3	4.8	11.4	4.4	2.2	2.3
PI594794B	46.4	7.4	1.4	4.4	7.7	6.3	1.4	3.4	1.3	5	19.1	26.5	53.1	8.9	11.4	3.8	3.2	3.8
PI594798	45.4	7.72	1.47	4.45	7.79	6.32	1.5	3.63	1.31	5.37	21.1	28.9	51.1	5.2	11.4	5.2	3.6	4.8
PI594799A	45.1	7.85	1.46	4.82	7.84	6.71	1.4	3.49	1.29	4.89	20.5	24	57.3	5.4	9.7	4.8	3.7	5.5
PI594799B	45.5	7.99	1.39	5.01	7.48	6.5	1.4	3.37	1.3	4.91	19.6	26.5	57.3	5	8.7	5.1	2.4	3.7
PI594800	49.3	7.79	1.32	4.53	7.88	6.38	1.3	3.44	1.23	5.16	17.8	28.4	52.1	5.3	7.9	4.6	4	5
PI594801A	47.3	7.55	1.46	4.25	7.57	6.37	1.3	3.42	1.25	4.9	18.7	27	53.1	5.7	8.1	4.9	3.7	5.4
PI594801B	49	7.7	1.44	4.27	7.61	6.33	1.4	3.29	1.24	4.93	17.9	27.8	53.4	6.5	9.1	4.7	4.5	6
PI594802A	47.4	7.82	1.41	4.45	7.73	6.48	1.4	3.39	1.23	4.84	19.4	26.3	55.3	5.3	9.7	4.5	4.2	4.1
PI594802B	47.3	7.59	1.53	4.29	7.8	6.25	1.5	3.46	1.32	5.27	20.1	28.7	53	4.8	11.3	4.5	2.4	3.6
PI594804	45.8	7.64	1.39	4.6	7.61	6.61	1.3	3.55	1.2	4.57	19.5	27.7	57.3	5.8	11.5	4.8	3.7	4.5
PI594807A	44.5	7.6	1.4	4.5	7.5	6.3	1.3	3.5	1.2	5.2	19.8	26.3	52.5	6.7	9.3	4.5	2.3	2.1
PI594807B	48.5	7.8	1.6	4.8	8	6.6	1.5	3.5	1.3	5	19.1	22.1	53.6	7.3	8	4.1	2	0.2
PI594810A	41.6	7.5	1.52	4.72	7.9	6.36	1.4	3.79	1.26	5.2	21.6	24.3	57.1	5.4	8.7	4.5	4	7.1
PI594810B	47.6	7.6	1.35	4.49	7.51	6.36	1.3	3.35	1.18	5	18.7	28.5	52.3	5.9	10.7	4.8	1.7	1.5
PI594811	49	7.4	1.4	4.1	7.4	6.1	1.3	3.3	1.1	4.7	18.2	24.1	54.5	8.3	11.3	3.6	3.2	3
PI594819	47	7.58	1.57	4.37	7.86	6.3	1.5	3.58	1.31	4.96	19.5	25.2	56.5	5.4	10.1	4.1	2.4	3.3
