<Taxa>	PROTEIN	ARGININE	CYSTEINE	ISOLEUCINE	LEUCINE	LYSINE	METHIONINE	THREONINE	TRYPTOPHAN	VALINE	OIL	OLEIC	LINOLEIC	LINOLENIC	PALMITIC	STEARIC	STACHYOSE	SUCROSE
PI398263	45.8	7.8	1.6	5.1	7.9	6.5	1.4	3.4	1.4	4.9	21.8	27.4	52.3	8.1	11.3	3.8	3	4.2
PI398264	46.1	8.2	1.3	5.2	7.9	5.6	1.2	3.3	1.4	5	17.8	28.3	53.2	8.4	11.6	3.9	3.5	4.9
PI398266	45.2	6.8	1.3	5.2	8.5	4.7	1.7	3.5	1.5	6	20.4	26.3	52.6	9	11.3	3.7	3.6	2.9
PI398267	44.3	7.96	1.51	4.75	7.98	6.39	1.5	3.84	1.39	5.37	19.1	25.6	53.7	6.8	11.3	4.3	4.2	7.9
PI398269	46.9	7.4	1.5	4.3	7.5	6.3	1.3	3.4	1.2	5	19.1	23.6	53.8	8.1	11.6	3.8	3	1.9
PI398274	42.9	7.73	1.43	4.91	8.14	6.87	1.4	3.79	1.23	4.96	20.1	25.1	55.1	6	10.7	4.9	4	8
PI398277	48.2	8.9	1.3	5.4	7.8	5	2.1	3.2	1.3	5.1	18.3	26.3	50.5	8.8	11.6	4.2	3.2	2.8
PI398279	47.2	9.1	1.4	5.6	8.2	5.7	2	3.3	1.3	5.2	19.3	24	50.9	10.7	11.6	3.8	3.1	3.6
PI398280	45.5	7.1	1.3	5.4	8.5	5	1.9	3.5	1.5	5.9	19.8	22.2	53.1	11	11	3.5	3.3	3.5
PI398284	47	7.4	1.5	4.3	7.6	6.3	1.4	3.4	1.3	4.9	19.9	24.6	50.7	9.8	11.4	3.8	3.2	3.4
PI398285	44.4	7.5	1.7	4.7	8	6.5	1.5	3.6	1.4	5.1	21.7	26.7	50.6	9.7	10.9	4	2.9	3.7
PI398286	42.7	7.9	1.4	4.9	8	5.5	1.1	3.5	1.5	5.4	21.3	25.2	54.5	9.2	10.9	3.5	4	3.4
PI398287	43.5	7.7	1.4	5.4	8.4	6.3	1.1	3.6	1.4	5.3	18	23.3	53.4	9.3	11.7	4	4.3	5.7
PI398288	40.6	8	1.6	5.8	8.3	7	1.4	4	1.5	5.5	22.3	24.4	58.6	9.7	9.9	3	3.1	3.3
PI398290	41.9	7.9	1.3	5.4	8.2	6.1	1.2	3.4	1.5	4.8	18.2	21.3	51.4	9.4	11.9	4.5	3	6.5
PI398294	45.6	7.6	1.4	4.4	8	6.3	1.4	3.6	1.3	4.9	18.7	24.8	52.1	9.5	10.5	3.8	5.1	5.9
PI398296	43.2	7.7	1.5	4.7	8.4	6.5	1.4	3.7	1.3	5	18.9	24.6	53.9	10.1	11	3.8	3.3	5.1
PI398301	42.7	7.1	1.3	5.5	9	5.8	1.7	3.7	1.6	6.1	22.2	25.9	51.7	9.5	11	4	3.1	2.6
PI398302	42.5	6.6	1.3	5.5	8.9	5.5	1.7	3.7	1.6	6.1	21	24.5	53.5	9.9	11.6	3.8	4.1	4.2
PI398304	46.3	8.1	1.2	5.3	8.6	6.1	1.8	3.4	1.5	5.8	21.2	23.7	52.3	10.1	10.7	3.9	2.7	2.2
PI398307	47.8	8	1.5	4.7	7.6	6.3	1.3	3.3	1.2	5.1	19.1	24.6	52.8	9.4	12.2	4.2	2.9	3.1
PI398308	49.8	8.9	1.4	5	7.5	6	1.4	3.1	1.2	5	18.2	26.8	52.5	8.7	11.7	4.2	2	2
PI398309	49.1	9.3	1.5	5.2	7.5	6	1.4	3.2	1.3	5	19.1	27.5	51.3	7.1	11.2	3.6	1.4	2.5
PI398311	42.5	7.88	1.55	4.87	7.85	6.48	1.4	3.84	1.33	5.22	20	25.2	54.1	6.8	10.5	3.8	2.5	2.6
PI398316	41.2	8.2	1.6	5.7	8.6	7	1.5	3.8	1.5	5.5	22	23.8	54.7	9.9	10.3	3.4	3.2	4.2
PI398323	50.9	9.1	1.4	5	7.4	5.9	1.4	3.1	1.3	5	18.1	26.9	50.8	8.8	11.7	4.1	2	2.1
PI398324	49.6	9.1	1.5	5	7.5	6	1.4	3.1	1.2	5.1	18.2	26.4	52.9	7.9	11.5	4.2	1.5	2
PI398328	43.4	7.8	1.3	5.5	8.8	5.6	1.9	3.6	1.5	6	21.3	25.1	51.7	10	11	4	2.7	1.9
PI398329	42.4	7.6	1.3	5.6	7.8	6.5	1.5	3.5	1.2	4.7	19	25.1	57.7	5.3	11.7	3.5	2.8	4.6
PI398330	45	8.2	1.5	5.5	8.2	6.6	1.3	3.6	1.4	5.3	20.5	24.6	53.1	9.4	11.2	3.7	3.5	3.6
PI398331	41.2	8.2	1.6	5.7	8.5	7	1.5	3.8	1.5	5.5	21.9	23.6	54.5	10.3	10.4	3.3	3.3	4.4
PI398333	44.7	8.3	1.5	5.1	8.1	6.5	1.3	3.6	1.4	5.3	21.1	27.2	53.2	9.1	10.8	3.6	3.3	4.1
PI398335	41.3	8	1.4	5.9	8.3	6.5	1.2	3.7	1.5	5.4	21.7	25.5	53.9	8.3	11	3.4	3.8	5.3
PI398336	44.2	8	1.3	5.4	8.1	5.8	1.1	3.4	1.4	5.3	18.5	24.7	52.5	9.7	11.9	3.7	3.4	2.4
PI398337	44	7.8	1.3	4.5	7.5	5.2	1.1	3.5	1.4	5.1	20.6	24.8	57.3	9.4	10.6	3.3	5.2	2.3
PI398338	45.6	7.7	1.6	4.8	7.9	6.6	1.4	3.6	1.4	5.2	20.2	20.4	54.4	10.8	10.9	4.1	3.1	3
PI398339	45.2	7.2	1.5	4.4	7.7	6.2	1.4	3.5	1.3	5	21	24.2	53.3	10.3	11.1	3.5	3.5	4
PI398340	44.7	8.1	1.5	5.4	8	6.8	1.4	3.7	1.4	5.2	19.9	25	53	9.2	10.9	3.5	3.9	4.6
PI398341	44.6	8.1	1.5	5.5	8.1	6.7	1.4	3.9	1.4	5.3	20.8	23.5	56.2	10.2	10.7	3.3	3.1	3.4
PI398343	43.2	8	1.5	5.3	8.1	6.6	1.3	3.6	1.3	5.1	19.6	22	54.6	9.2	11.4	3.9	5.2	5.4
PI398344	45.4	7.3	1.6	4.4	7.5	6.3	1.4	3.5	1.3	5	20.1	23	52.2	10.5	11.1	3.9	3.3	4.2
PI398345	43.5	7.5	1.6	4.6	7.9	6.4	1.5	3.6	1.5	5	21.5	25.8	52.9	10.6	10.7	3.8	2.6	3
PI398346	43.1	7.7	1.5	5.5	8.2	6.7	1.4	3.6	1.4	5.1	20.6	23.2	56.6	9.8	10.8	3.9	3.7	3.7
PI398349	43.7	7.7	1.4	5.4	7.7	6.3	1.5	3.5	1.2	4.8	17.4	22.9	50.6	8.9	11.6	4.5	2.7	5.8
PI398351	47.1	7.7	1.5	4.8	7.7	6.3	1.3	3.3	1.2	5.1	19.5	23	53.7	9.4	11.4	4.1	3.2	4.4
PI398353	43.6	7.9	1.7	5.4	8.3	6.7	1.4	3.6	1.4	4.9	21.5	26	53.2	9	11	3.8	2.9	3.1
PI398354	44.6	7.5	1.5	4.8	7.8	6.6	1.4	3.4	1.2	5	19.9	23.3	53.1	9	11.4	3.9	4	4.8
PI398357	42.4	7.6	1.5	5.4	7.8	6.5	1.5	3.6	1.2	4.7	19.4	23.9	50	8.7	11.3	4.7	2.8	5.1
PI398362	43.9	8.1	1.4	5.4	8.2	6	1.2	3.6	1.5	5.4	21.2	25	54.3	8.9	10.1	3.2	3.6	3.5
PI398363	44.8	8.1	1.4	5.5	8	6.1	1.2	3.5	1.3	5.1	17.8	23.1	54.2	8.8	11.7	3.9	4.1	3.3
PI398364	44.3	8.2	1.4	5.7	8	6	1.2	3.7	1.4	5.6	20.4	23.3	53.6	10.3	10.9	3.1	3.3	2.9
PI398369	46.1	7.6	1.5	4.3	7.4	6.4	1.3	3.4	1.3	5	19.4	28.6	49.9	7.8	12.1	4.6	2.4	2.7
PI398370	46.8	7.6	1.6	4.5	7.7	6.3	1.4	3.4	1.3	5	20.1	24.9	52.2	8.9	11.3	3.6	3.6	3.9
PI398373	45.2	7.9	1.6	4.7	7.7	6.5	1.4	3.4	1.4	5	20.2	24.1	52.5	10.5	10.9	3.4	3	3.7
PI398376	45.7	7.8	1.7	4.7	8	6.5	1.4	3.6	1.4	5.3	20.8	25.7	52	10	10.7	3.7	3.1	2.9
PI398377	46	8	1.4	5.3	8	6.5	1.3	3.4	1.3	5.1	19.8	26.2	51.7	8.6	11.4	3.9	3.5	3.3
PI398378	44.2	7.9	1.5	5.4	8	6.7	1.4	3.5	1.4	5.2	21.4	27.6	50.7	8.6	11.4	4.2	3.4	3.4
PI398381	45.2	7.6	1.4	4.9	7.6	6.4	1.6	3.3	1.2	4.8	18.2	24.2	51.9	8.1	11.6	3.7	3.1	4.2
PI398383	47	7.7	1.3	5	7.6	6.3	1.4	3.5	1.1	4.7	17.7	24.1	50.9	8.9	12	4.5	2.6	4.8
PI398387	47.3	7.6	1.6	4.4	7.6	6.3	1.4	3.5	1.3	5.1	19.9	25.8	50.2	9.2	11.7	4.4	3.1	3.5
PI398390	47.2	7.6	1.7	4.4	7.8	6.3	1.4	3.4	1.4	4.8	19.4	21.9	54.5	10.4	11.8	4.4	2.4	2.4
PI398391	44.6	8.1	1.6	5	7.9	6.6	1.4	3.5	1.4	5.2	21.2	28	49.4	8.2	11.3	4.3	2.7	2.7
PI398393	43.4	7.5	1.7	4.7	8	6.3	1.5	3.7	1.5	5.1	23	25.7	53.7	9.8	10.9	3.9	2.8	2.3
PI398396	46.8	7.71	1.7	4.5	7.68	6.27	1.4	3.73	1.39	5.16	18.5	25.6	54.7	6.5	7.3	3.9	3	5.3
PI398399	44.4	7.4	1.6	4.4	7.6	6.3	1.4	3.5	1.3	5.1	21	24.2	51.8	8.4	11.6	4	2.8	2.1
PI398400	41.7	8.2	1.5	5.8	8.2	6.5	1.3	3.8	1.5	5.7	21.3	24	55.4	10.4	11.1	3.4	2.9	4.1
PI398402	44.5	7.7	1.7	4.6	7.9	6.3	1.5	3.7	1.4	5.2	21.3	26.4	50.8	9.6	11.6	3.7	3	4.1
PI398407	44.1	8	1.5	5.3	8.1	6.7	1.4	3.6	1.3	5.1	19.7	23.8	54.1	8.9	11.4	4.1	4.1	4.9
PI398409	43	7.8	1.5	5.3	8	6.7	1.4	3.6	1.3	5	19.7	21.2	55.3	9.4	11.4	3.7	4.5	5.9
PI398411	41.8	7.9	1.5	5.5	8.2	6.9	1.4	3.8	1.4	5.3	21.2	23.7	53.7	9	11	3.4	3.9	5.4
PI398413	46.8	9.6	1.5	5.5	8	6.1	1.7	3.3	1.4	5.2	21.3	30.7	49.9	8.2	10.7	3.8	2.1	1.5
PI398418	46.7	8.1	1.5	5	7.6	6.5	1.3	3.4	1.4	5.1	20.5	27.5	52.5	8.7	11.9	4.1	3.4	3.7
PI398422	43.3	7.4	1.6	4.6	7.7	6.3	1.4	3.6	1.3	5	21.2	25.7	50.3	8.7	11.4	4	3.3	3.7
PI398423	46.6	7.9	1.2	4.3	7.9	5.3	1.1	3.4	1.4	4.9	16.1	22.4	55.1	9.2	12.6	3.8	4	4.4
PI398424	46.2	7.9	1.3	5.3	7.9	5.8	1.1	3.6	1.4	5.2	17.9	23.1	55.4	9.8	11.2	3.8	4.6	4.2
PI398427	44.2	7.7	1.6	4.5	7.7	6.4	1.4	3.6	1.3	5.1	19.4	24.5	48	10	12.4	4.4	3	3.2
PI398428	49.9	8.5	1.6	4.7	7.5	6.1	1.4	3.1	1.3	4.9	18.9	27	49.7	8.6	12.5	4.4	2.2	1.9
PI398432	45.7	7.4	1.5	4.3	7.5	6.3	1.3	3.5	1.3	5	19.8	22.5	52.6	10.2	11.7	4	2.8	3.2
PI398433	46.5	7.5	1.6	4.5	7.8	6.3	1.5	3.5	1.4	5	20.9	23.4	53.4	9.6	11.3	4.5	2.7	2.8
PI398434	51	8.1	1.5	4.5	7.4	6.2	1.4	3.1	1.2	4.7	16	23.8	49.9	9.4	12.5	4.2	3.4	3.5
PI398437	42.7	8.1	1.4	5.9	8.3	6.3	1.1	3.6	1.5	5.5	21.5	23.3	56.9	9.7	11.4	3.6	4	4.3
PI398438	44.9	8	1.4	5.3	7.8	6.4	1.3	3.5	1.4	5.4	22.6	32	49.1	6	10.8	4	2.3	2.5
PI398445	43.9	7.5	1.6	4.6	7.8	6.3	1.5	3.6	1.4	5	21.3	24.7	51.9	10.2	10.8	3.6	3	2.6
PI398446	45	8.1	1.3	5.8	8.3	6.1	1.2	3.3	1.4	4.7	17.2	26.1	54.9	6.3	12.5	3.9	4.1	5.2
PI398447	41.6	8	1.4	4.6	8.2	4.9	1.2	3.5	1.5	5.3	18.5	21.2	57.1	10.4	10.8	3.3	5.9	3.6
PI398448	44	8	1.4	5.4	8.1	6.1	1.1	3.5	1.4	5.3	18	23.1	54.7	9.6	12.2	4	4.4	4.3
PI398449	45.6	7.9	1.3	5.2	8	5.9	1.2	3.5	1.4	5	17.5	24.2	54.2	9	11.7	4	4.4	4.8
PI398453	46.7	7.6	1.7	4.5	7.8	6.4	1.5	3.5	1.4	5	20.4	25	50.2	9.6	11.2	4.1	3.4	3.4
PI398454	46.5	7.3	1.6	4.3	7.5	6.1	1.4	3.5	1.3	5	20	21.2	54	10.7	11.5	4.3	3.4	4.1
PI398456	43.5	7.9	1.4	5.5	8	6.6	1.4	3.5	1.3	5	18.8	24.1	54.8	8.8	10.9	3.6	5.7	4.8
PI398457	45.6	8.1	1.4	5	8	6.5	1.3	3.5	1.2	4.8	17.3	25.3	54.3	8.7	11.8	4	4.1	4.4
PI398458	44.8	7.4	1.6	4.4	7.6	6.1	1.4	3.5	1.3	4.9	20.9	25.4	53	10.2	10.9	3.5	3.1	3.3
PI398459	45.6	7.5	1.6	4.5	7.7	6.3	1.4	3.5	1.4	4.9	21.2	25.6	51.3	9.9	10.9	4.3	2.5	2.5
PI398460	46.8	8	1.4	4.9	7.9	6.4	1.3	3.3	1.1	4.7	16.4	23.7	52.7	7.9	11.6	3.6	3.6	4.5
PI398461	42	7.8	1.5	5.4	8.1	6.7	1.3	3.6	1.3	4.9	21.1	24.9	54.9	8.8	11.4	4	4.1	5.3
PI398462	42.6	7.8	1.4	5.5	8.2	6.7	1.3	3.6	1.3	4.8	20	23.6	52.7	8.9	12	4	4.2	5.4
PI398465	45	7.6	1.4	4.5	7.2	6.5	1.3	3.4	1.3	4.9	20.4	31.6	49.3	6.3	11.7	4.3	2.7	4.5
PI398466	47.4	7.8	1.4	4.4	7.6	6.4	1.3	3.4	1.2	5	18.4	24.7	52.7	9.2	12.3	4.4	3	3.4
PI398467	45.3	7.4	1.6	4.5	7.8	6.3	1.4	3.6	1.3	5	20.5	24.2	52.4	10.2	11.4	3.7	3.4	3.3
PI398468	45.7	7.5	1.5	4.4	7.6	6.3	1.4	3.5	1.2	5	19.8	24.8	52.7	8.8	11.9	3.8	3	2.1
PI398470	49	7.5	1.2	4.9	7.3	5.6	1.1	3.3	1.2	4.7	16.5	27.1	52.1	8.8	11.7	4.2	3	2.8
PI398471	44.8	8.3	1.5	5.4	8.2	6.6	1.4	3.5	1.3	5.1	18.5	23.3	52.4	10.1	12.1	4	3.5	5.5
PI398472	45.3	7.9	1.3	5.5	8	5.9	1.3	3.7	1.4	5.1	18.7	21.7	51.8	9.4	10.8	4	3.2	4.8
PI398473	42.9	7.8	1.4	5.3	8.1	6.2	1.2	3.5	1.4	4.9	19	23	52.5	8.8	11.1	3.3	3.4	5.2
PI398474	44.7	7.9	1.3	5.4	8	5.8	1.1	3.4	1.4	5.3	17.3	21.8	54.4	9.3	11.9	4.1	3.4	4.8
PI398476	44	7.7	1.6	4.7	7.9	6.5	1.4	3.6	1.4	5.2	21.4	27.4	50.9	8.9	11.4	4.1	2.4	2.2
PI398477	48.5	7.3	1.5	4.1	7.3	6.1	1.3	3.3	1.3	4.8	17.9	21.9	52.1	10.1	12.5	4.4	3.3	2.9
PI398478	48.6	7.5	1.5	4.1	7.5	6.3	1.3	3.3	1.2	4.8	17	20	52.5	10.5	12.6	4.4	2.8	1.6
PI398480	38.4	8.1	1.5	4	8.6	4.9	1.2	3.5	1.6	5.4	20.4	21.7	54.8	9.7	11.7	3.7	5.8	6.8
PI398481	47.5	7.6	1.4	4.4	7.6	6.4	1.3	3.4	1.1	5.1	18.2	28.4	49.7	7.8	11.2	3.5	3.2	3.9
PI398483	43.7	7.2	1.5	4.6	7.7	6.4	1.4	3.6	1.3	5	21.8	24.3	54.7	9.3	11.5	3.6	3.3	4
PI398487	44.7	7.8	1.5	5	7.8	6.6	1.4	3.4	1.2	4.9	18.7	25.5	52.9	8.5	11.2	4.2	3.3	3.8
PI398488	50.8	7.8	1.5	4.2	7.4	6.2	1.4	3.2	1.2	4.9	16.8	25.9	49.2	9	12.8	4.4	3.3	2.1
PI398491	47.9	7.5	1.5	4.3	7.5	6.3	1.3	3.4	1.3	5.1	19.6	24.2	55.1	9	11.7	4.1	3.4	3.6
PI398492	46.9	7.87	1.39	4.81	7.92	6.68	1.4	3.63	1.32	5.04	19.4	24.8	54.8	6.6	7.6	4	4.5	7.7
PI398496	45.3	7.4	1.6	4.4	7.6	6.2	1.4	3.5	1.3	5.1	21.2	22.9	52.5	9.3	11.5	4.4	2.7	2.5
PI398498	43.8	7.9	1.5	5.4	8	6.6	1.4	3.6	1.4	5.3	22.4	29.4	49.8	8.1	10.7	3.8	2.3	2.2
PI398500	44.1	7.6	1.6	4.6	7.8	6.5	1.4	3.6	1.3	5	19.6	22.6	52.1	9.4	11.8	4.4	3.8	3.9
PI398502	46.2	7.3	1.5	4.3	7.6	6.3	1.4	3.4	1.3	5	20.2	23.4	52.8	10.1	11.5	3.6	3.4	3.6
PI398503	46.2	7.6	1.4	4.6	8	6.4	1.5	3.6	1.3	5.1	16.9	25.3	54.1	7.5	11.8	4	4.1	7.3
PI398506	43.6	7.5	1.3	4.7	8	5.1	1	3.3	1.4	5.2	17.2	23.3	53.8	7.8	11.8	3.6	3.3	4.1
PI398507	44.6	9.3	1.5	5.8	8.4	5.9	2.1	3.5	1.5	5.3	21.8	24.5	52	10.5	10.9	3.9	2.7	2.8
PI398508	44.2	7.8	1.4	5.2	8	6.1	1.1	3.5	1.4	5.2	18.6	24.3	54.6	8.9	11.5	3.7	3.9	4.2
PI398509	43.6	7.9	1.3	5.2	8.1	5.6	1.1	3.4	1.4	5.2	17.2	23.6	54.3	8.9	11.7	4	3.8	4.9
PI398510	41.9	8.2	1.5	5.9	8.4	6.5	1.2	3.7	1.5	5.7	22	25.4	55.7	8.8	10.8	3.3	2.9	2.9
PI398511	44.7	8.2	1.3	5.7	8.3	6.1	1.1	3.5	1.5	5.4	18.1	22.8	55.4	9.1	11.6	4	4.8	4.8
PI398512	46.1	7.5	1.3	5.3	8.4	5.6	1.7	3.4	1.4	5.7	20.1	21.6	55.1	10.9	11	3.2	3.5	2.3
PI398513	45.4	9	1.4	5.8	8.2	5.3	2.2	3.4	1.4	5.1	21.3	22.3	54.4	10.1	11.4	4.4	2.8	1.8
PI398515	45.3	7.5	1.6	4.4	7.6	6.4	1.4	3.5	1.3	5	18.3	21.1	55.2	10.4	11.6	4.1	3.2	2.7
PI398517	45.4	7.8	1.6	4.7	8	6.5	1.5	3.6	1.4	5.2	20.4	24.8	54	10	10.7	3.9	2.9	3
PI398518	45.4	7.2	1.5	4.3	7.5	6	1.4	3.5	1.2	4.9	20.7	25.7	54.6	8.9	11.4	3.5	3.6	3.9
PI398519	44.8	7.78	1.47	4.61	8.05	6.53	1.4	3.71	1.32	5.3	19.2	25	54.2	6.3	10.4	4.2	4.5	7.7
PI398520	46	7.5	1.5	4.3	7.6	6.3	1.4	3.5	1.2	5.1	20	24.8	53.2	9	11.6	3.9	3.6	4.4
PI398521	41.2	6.2	1.4	5.5	8.7	4.7	1.9	3.8	1.5	6	21.1	21.3	53.7	10.7	11.3	3.7	3.7	4.3
PI398524	42.6	7.8	1.4	4.4	8.1	5.3	1.2	3.4	1.4	4.9	18.6	23.6	53.6	7.9	11.6	4.1	4.1	3.5
PI398526	43.5	8.7	1.4	5.8	8.1	5.9	1.9	3.5	1.4	5.2	21	21.8	53.5	10.6	11.4	3.8	4.6	3.1
PI398527	44.1	7.1	1.3	5.5	8.8	4.8	1.7	3.6	1.5	6.2	21.3	23.1	56.3	8.9	10.7	3.9	3	2.3
PI398529	44.7	7.8	1.3	5.2	8	5.9	1.3	3.4	1.3	4.6	17.1	24.7	52.4	10	12.6	4.5	2.8	6.9
PI398530	50.5	8.6	1.5	4.8	7.3	6.1	1.3	3.1	1.3	4.9	17.9	27	48.6	9	12.4	4.3	2.6	2.7
PI398533	42.3	7.6	1.7	5.2	8.2	6.7	1.5	3.8	1.5	5.1	22.6	25.2	54.3	10.6	10.3	3.9	2.6	1.5
PI398534	42.8	7.5	1.6	4.7	8	6.4	1.4	3.7	1.4	5.1	21.8	25.3	55.7	10.6	8.8	3.5	2.7	1
PI398536	49.6	8.3	1.4	4.5	7.1	6.1	1.3	3.1	1.2	4.9	18.2	28.2	49.6	8.8	12.4	4.4	2.6	0.9
PI398538	45.8	7.6	1.5	4.3	7.7	6.3	1.3	3.4	1.3	5	19.2	26.4	52.6	8.3	11.9	3.9	2.3	1
PI398539	46.3	7.4	1.5	4.4	7.7	6.3	1.4	3.4	1.3	5	20	23.6	51.8	10.3	11.3	3.6	3.2	4
PI398541	44.6	7.6	1.7	4.7	7.9	6.4	1.5	3.7	1.5	5	21.3	23.7	54.6	10.1	11.2	4.2	2.5	1.9
PI398542	42.5	7.3	1.6	4.7	7.8	6.4	1.4	3.8	1.3	5.1	21.1	23.1	52.4	10.5	11.7	4.1	3.4	4.1
PI398543	47.2	8.5	1.4	5	7.7	6.1	1.3	3.3	1.2	5	16.9	23.4	52	9.2	11.9	3.8	2.4	3.2
PI398544	47	8.4	1.4	5	7.8	6.3	1.3	3.3	1.2	5	15.9	26.2	51.2	9.1	12.5	4.4	2.9	4.1
PI398545	44.3	7.9	1.6	4.9	7.8	6.6	1.4	3.5	1.2	5.1	19.6	22.3	53.2	10.5	11.5	4.1	2.9	2.5
PI398546	46.7	8.1	1.6	4.8	7.7	6.4	1.4	3.4	1.3	5.1	19.3	26.9	48.7	8.9	11.4	4.2	2.9	3.3
PI398547	47.5	8	1.4	4.8	7.5	6.4	1.3	3.2	1.3	4.8	17.2	24.5	52	9.5	12.2	4	3.5	3
PI398548	47.3	7.3	1.5	4.2	7.4	6.2	1.4	3.4	1.2	4.9	19.7	24.1	52.3	9.7	11.4	3.4	3.2	3.5
PI398550	45	8	1.4	5.1	7.9	6.6	1.3	3.5	1.2	4.9	17.7	24	52.7	8.6	11.2	4.1	2.8	3.9
PI398551	44.1	7.9	1.4	5.3	7.9	6.6	1.5	3.6	1.1	5	18.7	23.6	54.3	6.7	11.5	4	3.3	3.3
PI398552	42.7	9.3	1.5	6.1	8.6	6.2	2.2	3.6	1.5	5.5	21.2	23.6	54	11	9.9	3.8	3.3	3.6
PI398553	45.8	7.6	1.7	4.5	7.9	6.3	1.5	3.6	1.4	5.1	21.6	23.6	55	10	11.2	4.3	3.2	3.4
PI398554	46.2	7.5	1.6	4.4	7.7	6.3	1.5	3.5	1.4	4.9	20.3	23.4	51.3	10.1	11.2	4.2	3.2	3
PI398555	43.8	8.3	1.5	5.4	8.4	7	1.5	3.8	1.4	5.4	19.4	23.1	53	9.6	11.5	3.6	4.1	5.5
PI398560	43.8	9.5	1.6	6	8.6	6	2.1	3.5	1.5	5.4	21.7	22.9	51.9	10.6	11.5	4.3	3.2	4
PI398561	43.3	8.8	1.4	6	8.9	5.7	1.9	3.6	1.5	6.1	21.3	25.3	53.7	8.8	11.2	4.2	3.3	3.8
PI398562	43.7	7.6	1.6	5.2	8.1	6.7	1.4	3.7	1.4	5.3	22.3	25.5	53.6	8.9	11.1	3.5	3.7	6.1
PI398563	50.4	8.4	1.4	4.8	7.6	5.9	1.3	3.1	1.2	4.9	17	28	51.8	8.5	12	3.8	2.9	4
PI398564	43.3	8.1	1.5	5.4	8.1	6.8	1.4	3.7	1.3	5.2	18.5	22.9	53	9.2	11.6	3.5	5.6	5.3
PI398567	41.1	8	1.5	5.8	8.4	6.6	1.2	3.8	1.6	5.7	22.7	25.7	52.6	10.6	11	3.4	3.1	4.4
PI398568	41.1	8	1.5	5.9	8.5	6.8	1.3	3.9	1.5	5.6	21.7	20.4	54.9	11.3	11.1	3.4	4.1	4.4
PI398569	46.4	8.6	1.3	5.6	8.1	6.1	1.3	3.4	1.4	5.6	19.3	24.5	52.6	9.2	11.7	3.7	3	4.6
PI398571	44.5	7.5	1.7	4.6	7.9	6.5	1.5	3.6	1.4	5	20.6	22.6	52.8	10.3	11.1	4.1	3.1	2.1
PI398572	45	7.97	1.52	4.67	8.06	6.34	1.5	3.79	1.48	5.33	18.7	26.1	53.9	7	10.5	4.2	4.8	7.6
PI398573	44.9	7.7	1.7	4.8	8	6.5	1.5	3.6	1.4	5.1	21.8	25.5	51.6	9.2	11.2	4.2	3	2.9
PI398574	44.7	7.8	1.3	5.1	7.9	5.8	1.2	3.5	1.3	5	17.1	21.8	55.4	9.8	11.3	3.7	4.5	5
PI398577	42.8	8	1.3	4.5	8.2	5.3	1.1	3.4	1.5	5	17.9	24.8	52.9	8.7	11.5	3.6	3.8	5.3
PI398579	45.6	7.6	1.6	4.5	7.7	6.3	1.4	3.5	1.4	5	20.9	23.1	50.7	9.7	11.3	4.4	2.9	2.9
PI398581	47.1	7.7	1.7	4.5	7.8	6.3	1.5	3.4	1.4	4.8	20.3	24.6	51.3	10	11.4	3.8	3	4
PI398582	45.2	7.7	1.6	4.7	7.9	6.4	1.5	3.6	1.4	5.1	21.4	25.4	50.4	8.7	11.3	4.1	2.9	3.1
PI398583	46.9	7.7	1.6	4.6	7.8	6.4	1.5	3.5	1.4	5.2	20.3	25.1	51.1	8.7	11.4	4.4	3	2.3
PI398584	45.6	7.4	1.5	4.5	7.7	6.4	1.4	3.5	1.3	5	20.5	22.7	53.6	10.2	11	3.7	3.3	1.9
PI398585	45.2	7.8	1.6	4.8	8.1	6.6	1.5	3.6	1.4	5.2	21.8	24.5	51.8	10.2	11.2	4	3	2.9
PI398586	45.1	7.7	1.6	4.7	8	6.4	1.5	3.6	1.4	5.2	21.3	26.2	50.8	9.4	11.3	4	3.1	3.5
PI398587	45.1	7.7	1.5	4.6	7.7	6.7	1.4	3.5	1.3	5.1	19.5	24.5	52.5	8.9	11.7	4.1	3.2	3.3
PI398589	53.8	7.7	1.4	3.9	7.1	6	1.3	3	1.2	4.7	12.3	22.1	48.9	10.2	12.8	4.6	3.1	1.6
PI398590	54.5	8.1	1.4	4.1	7.2	6	1.3	2.9	1.2	4.8	12.2	22.4	48.8	10.7	12.3	4.4	3	2
PI398591	52.3	7.9	1.5	4.1	7.4	6.2	1.4	3.1	1.3	4.9	16.4	23.9	49.1	9.9	12.6	4.2	3.5	2.1
PI398593	51	7.6	1.4	3.9	7.5	6.1	1.3	3.1	1.2	4.8	13.4	22.5	50	10.1	12.6	4.6	3	1.9
PI398594	49.1	7.8	1.3	4.3	7.3	6.1	1.3	3.2	1.1	4.7	14.7	25.4	52.8	8.2	12.8	4.5	2.5	2.5
PI398595	51.8	7.6	1.4	3.9	7.3	6.1	1.3	3.1	1.2	4.7	14.3	22.3	48.4	10.4	13.1	4.4	2.8	2.2
PI398596	49.6	7.7	1.6	4.3	7.5	6.2	1.4	3.2	1.3	4.8	18	24.2	49.3	10.6	12.8	4.4	2.7	2.2
PI398597	51.1	8.4	1.4	4.4	7.3	6	1.3	3	1.2	4.9	15.7	23.4	48.4	10.2	13.1	4.6	2.7	1.3
